N,P,K,temperature,humidity,ph,rainfall,label
35.8,62.1,24.4,24.17,23.33,5.73,78.82,kidneybeans
107.6,7.3,54.3,25.24,86.19,6.02,48.14,watermelon
41.6,18.5,31.2,25.11,98.27,5.64,197.9,coconut
143.4,59.7,17.6,25.11,74.84,6.92,92.22,cotton
15.9,47.3,14.7,26.78,79.85,7.07,61.43,mungbean
88.9,39.4,28.0,24.44,57.91,7.23,122.88,coffee
108.1,71.9,51.4,25.1,80.22,6.19,108.34,banana
37.3,66.6,20.6,29.3,62.41,6.55,63.23,blackgram
115.5,33.7,31.1,23.12,67.13,6.76,130.03,coffee
117.4,37.0,20.1,23.39,78.95,6.15,81.75,cotton
65.9,53.3,15.7,26.74,53.44,6.31,74.47,maize
26.8,6.0,25.2,26.67,98.96,5.79,145.58,coconut
82.8,26.8,50.5,24.65,78.5,6.79,55.07,watermelon
6.2,38.1,22.9,29.99,91.68,6.45,56.77,mungbean
28.7,26.8,12.5,33.59,88.23,6.53,123.22,orange
25.7,41.8,15.8,29.26,89.49,7.13,65.67,mungbean
14.9,37.8,20.2,30.37,89.42,6.63,54.95,mungbean
23.8,17.6,6.7,17.98,91.75,7.08,117.76,orange
87.9,13.9,28.6,24.64,72.57,7.01,132.28,coffee
89.7,41.6,47.4,20.73,91.18,6.69,207.0,rice
24.0,81.4,19.8,28.65,69.88,6.38,45.37,lentil
11.6,48.5,21.8,27.67,59.31,6.01,42.56,mothbeans
15.8,122.2,203.7,15.55,83.37,5.75,66.25,grapes
118.2,92.3,46.9,24.7,74.21,5.83,108.23,banana
85.9,54.6,33.2,20.55,93.9,5.24,193.49,rice
9.5,141.7,200.0,17.48,80.99,6.18,58.31,grapes
65.4,56.8,21.2,23.96,57.35,6.69,85.17,maize
71.4,62.0,46.0,21.91,90.24,7.08,234.29,papaya
75.6,53.6,43.9,25.24,77.52,5.93,177.96,jute
45.9,73.8,80.5,19.86,13.65,7.1,83.4,chickpea
30.3,10.9,26.7,28.17,95.47,6.52,147.56,coconut
60.2,59.7,17.9,26.87,69.86,6.31,77.66,maize
48.3,64.6,45.4,36.62,93.53,6.99,224.36,papaya
40.3,54.0,79.5,21.83,21.94,8.49,76.0,chickpea
30.6,64.0,20.0,28.03,59.29,6.63,147.24,pigeonpeas
87.5,7.9,46.4,25.34,89.05,6.71,43.51,watermelon
10.9,139.8,204.2,23.93,80.42,6.13,82.03,grapes
45.7,73.5,18.2,24.95,62.66,7.6,67.56,blackgram
40.5,68.5,20.9,27.98,48.98,5.66,203.25,pigeonpeas
19.1,62.6,17.7,23.99,68.82,6.91,44.66,lentil
83.1,51.6,28.4,25.98,57.96,6.51,100.16,maize
79.5,56.6,41.7,26.41,89.47,6.3,158.85,jute
14.1,22.1,34.1,31.77,49.47,5.6,82.98,mango
90.3,38.9,40.0,26.32,76.52,7.06,185.12,jute
55.1,56.6,15.8,30.51,63.83,6.73,61.81,blackgram
40.1,64.3,17.1,23.57,72.62,8.08,56.74,lentil
49.3,56.4,54.6,32.78,90.01,6.33,191.43,papaya
83.6,14.0,54.1,26.43,85.39,6.4,47.03,watermelon
24.3,33.6,29.8,35.66,53.96,5.31,103.68,mango
30.1,63.6,77.3,18.39,15.39,7.43,98.53,chickpea
32.7,16.9,6.8,27.94,92.61,7.75,118.84,orange
10.1,32.9,20.0,28.15,82.65,6.39,46.45,mungbean
117.2,20.7,49.8,29.79,91.97,6.24,19.0,muskmelon
25.9,15.5,9.2,16.94,91.94,5.68,113.8,orange
55.1,76.9,81.4,17.13,14.57,8.15,96.96,chickpea
16.4,19.0,34.6,27.57,100,5.36,147.48,coconut
47.9,74.0,12.6,27.76,64.93,6.69,79.43,blackgram
13.3,37.0,22.9,24.88,42.06,8.07,39.73,mothbeans
26.7,14.5,30.7,30.8,95.98,6.1,175.92,coconut
31.3,26.6,24.4,25.21,97.29,5.62,151.81,coconut
12.4,71.2,20.6,19.66,22.39,5.52,77.55,kidneybeans
106.2,87.1,44.6,29.4,84.31,6.28,109.49,banana
61.8,36.7,37.5,22.15,66.11,7.19,164.03,jute
30.5,55.6,24.7,27.72,56.47,8.87,31.54,mothbeans
23.2,20.6,30.7,31.96,53.53,5.31,91.31,mango
82.9,59.2,39.1,25.41,77.34,6.52,162.49,jute
40.4,15.9,12.4,30.72,93.3,7.18,107.22,orange
24.7,59.2,16.8,22.05,70.99,7.08,50.45,lentil
40.6,76.3,14.5,19.56,63.08,6.93,47.31,lentil
21.6,29.3,43.9,23.67,85.09,5.43,106.67,pomegranate
32.6,72.3,18.3,18.71,19.85,6.12,114.52,kidneybeans
26.0,55.6,23.8,24.74,62.81,4.88,43.53,mothbeans
134.8,39.7,17.1,23.8,82.8,6.17,67.83,cotton
114.6,10.4,52.9,26.29,82.83,6.53,39.1,watermelon
7.1,45.9,22.8,28.2,43.54,5.03,40.34,mothbeans
87.3,32.3,26.8,24.77,54.6,6.62,187.34,coffee
113.0,22.9,54.1,24.94,81.64,6.04,44.55,watermelon
58.1,66.6,78.0,18.75,17.14,7.83,68.84,chickpea
31.8,37.8,30.6,32.49,53.99,5.39,94.38,mango
35.9,21.9,41.2,23.65,91.8,5.6,105.02,pomegranate
51.8,52.5,44.9,23.83,92.43,6.65,209.96,papaya
23.4,68.2,22.2,31.41,56.05,7.79,157.37,pigeonpeas
38.7,16.6,43.7,22.23,89.39,5.71,105.72,pomegranate
100.8,21.7,29.4,21.57,67.55,6.98,181.22,coffee
31.2,67.2,18.0,29.04,51.77,6.42,172.16,pigeonpeas
90.4,81.1,55.4,25.75,76.19,6.64,91.67,banana
17.4,82.3,20.5,21.21,62.18,7.53,47.93,lentil
113.6,84.7,46.5,27.98,87.03,6.05,114.28,banana
94.1,21.1,48.3,26.72,90.92,5.98,32.18,muskmelon
87.0,23.1,49.1,22.16,87.56,6.73,53.56,watermelon
92.1,48.2,22.7,22.3,59.32,6.64,57.98,maize
14.7,65.5,16.7,17.01,63.32,7.37,46.72,lentil
130.6,51.0,21.6,25.66,79.28,6.61,62.45,cotton
67.5,46.3,45.5,21.79,91.31,6.27,248.57,rice
16.5,132.3,193.7,28.27,82.02,5.63,71.44,grapes
112.0,88.8,49.5,28.54,73.15,6.25,113.15,banana
12.0,53.6,20.4,28.97,84.62,6.37,44.79,mungbean
63.2,41.0,39.5,24.24,97.25,4.94,212.32,rice
87.3,57.6,18.9,27.01,59.72,6.42,110.9,maize
100.9,26.4,49.0,24.82,81.39,6.4,42.41,watermelon
31.3,124.5,206.7,15.76,85.72,6.3,70.9,grapes
78.4,52.8,20.7,26.94,73.04,6.79,90.35,maize
55.7,56.8,33.5,22.85,79.85,6.57,151.66,jute
37.1,79.7,25.2,24.86,70.36,6.18,51.79,lentil
87.1,52.4,42.0,25.01,83.74,6.73,188.41,rice
20.0,71.5,18.8,22.12,23.27,5.47,110.2,kidneybeans
26.5,21.9,43.6,20.31,87.69,6.48,99.06,pomegranate
112.6,88.3,47.6,25.98,82.78,6.3,82.0,banana
51.9,68.2,14.1,30.98,68.87,6.87,64.33,blackgram
13.8,26.5,5,16.98,91.85,7.21,98.55,orange
4.6,136.4,201.7,20.12,91.61,6.01,104.51,apple
60.2,53.1,19.3,31.87,61.31,7.13,73.24,blackgram
16.0,139.1,192.5,20.88,80.94,6.54,64.45,grapes
39.5,146.8,198.3,23.5,89.1,6.13,102.77,apple
103.9,73.5,54.7,27.8,84.3,6.56,107.9,banana
16.6,73.2,17.9,15.3,25.08,5.71,83.28,kidneybeans
132.9,38.1,20.1,25.22,78.97,6.73,73.1,cotton
16.4,65.3,17.5,17.29,20.44,6.02,92.79,kidneybeans
32.5,9.1,5,25.58,89.29,7.23,115.85,orange
28.1,5,31.3,27.75,95.11,6.07,218.71,coconut
20.9,129.1,197.0,22.7,88.8,6.16,114.45,apple
35.0,60.1,22.8,17.26,23.11,5.66,57.44,kidneybeans
58.1,58.9,48.5,23.28,91.28,6.77,173.16,papaya
78.5,48.3,38.3,23.63,70.27,7.14,166.43,jute
36.3,15.5,43.5,20.62,89.71,5.39,107.36,pomegranate
26.1,22.7,32.1,34.27,50.8,6.79,86.79,mango
40.8,67.3,82.1,17.51,18.56,8.42,67.94,chickpea
11.7,57.5,18.0,15.9,23.71,5.61,95.38,kidneybeans
18.8,62.6,21.4,34.61,37.6,7.28,134.46,pigeonpeas
99.3,56.5,49.2,22.67,87.46,6.48,230.87,rice
14.3,59.3,23.0,33.02,62.3,5.99,62.15,mothbeans
24.1,79.4,22.5,28.53,67.87,7.28,57.79,lentil
37.5,18.9,26.5,30.78,51.41,5.03,108.19,mango
40.8,69.5,19.8,34.28,51.71,7.53,165.24,pigeonpeas
59.6,72.4,19.5,30.53,59.64,6.54,73.63,blackgram
21.1,127.1,203.2,16.83,86.56,6.55,71.25,grapes
38.0,56.6,44.2,32.57,93.14,6.84,176.26,papaya
45.3,76.2,24.3,32.28,67.74,6.82,82.13,blackgram
22.3,26.7,24.3,26.6,95.98,6.07,163.57,coconut
68.3,38.6,39.7,24.16,68.51,7.09,194.69,jute
13.4,60.0,23.9,20.16,23.49,5.9,132.73,kidneybeans
16.3,72.5,17.7,21.22,19.74,5.94,102.77,kidneybeans
75.2,50.7,39.9,27.46,90.64,5.13,235.25,rice
11.7,53.4,13.3,27.99,88.92,6.45,54.81,mungbean
22.8,54.7,24.9,29.88,89.35,6.29,40.83,mungbean
31.1,78.4,18.3,26.43,65.62,6.52,63.27,blackgram
21.9,15.1,5.0,25.22,90.62,6.71,121.74,orange
119.5,14.7,29.3,24.4,65.61,7.73,130.46,coffee
22.3,69.9,14.9,35.29,43.86,4.77,133.42,pigeonpeas
31.6,54.2,16.4,22.02,68.74,5.95,37.14,lentil
27.5,131.4,200.5,14.02,81.18,6.46,71.11,grapes
74.9,48.7,42.6,24.12,86.1,7.52,158.69,jute
41.7,71.6,23.1,29.47,72.47,7.22,64.93,blackgram
60.2,71.4,82.0,19.58,20.78,7.46,87.65,chickpea
13.6,12.6,9.5,29.12,96.64,6.27,111.84,orange
11.0,37.3,16.8,31.15,63.69,6.01,64.88,mothbeans
116.1,25.6,54.6,25.53,89.66,6.75,37.56,watermelon
19.8,63.3,17.9,27.62,60.75,7.68,53.47,lentil
82.9,36.7,37.7,24.75,87.1,7.57,179.62,rice
18.8,18.6,34.1,20.76,87.85,7.3,99.87,pomegranate
104.4,33.4,31.6,27.06,69.97,7.37,120.56,coffee
19.0,63.5,20.4,23.86,25.72,5.89,128.49,kidneybeans
23.4,126.8,201.6,23.6,90.08,5.66,121.03,apple
43.8,57.6,53.2,31.95,90.65,6.93,174.97,papaya
33.1,142.5,198.5,22.5,91.11,5.82,109.39,apple
90.1,7.5,47.8,29.27,91.85,6.48,20.48,muskmelon
24.3,144.0,204.0,23.22,91.36,6.16,115.25,apple
34.5,130.0,199.7,23.09,92.43,6.25,116.11,apple
24.0,78.4,81.3,19.58,15.93,6.38,86.32,chickpea
20.8,58.6,17.1,18.79,20.07,5.7,134.86,kidneybeans
24.9,62.9,22.1,27.98,58.07,6.08,89.7,pigeonpeas
21.4,24.8,33.8,18.69,81.82,6.08,101.83,pomegranate
60.8,77.2,79.2,19.78,13.01,7.65,78.59,chickpea
35.4,27.0,26.6,27.15,44.25,4.99,105.8,mango
18.7,56.4,20.6,26.15,62.38,5.53,70.29,mothbeans
37.6,16.0,32.1,26.07,98.11,6.61,145.12,coconut
17.7,59.8,22.2,20.95,60.96,7.19,56.77,lentil
18.1,60.3,19.9,21.1,20.45,5.74,140.32,kidneybeans
28.5,137.5,198.4,23.46,90.69,6.08,101.17,apple
44.4,66.8,84.9,16.91,12.62,7.35,87.87,chickpea
94.4,41.3,43.5,25.11,71.72,6.15,166.21,jute
117.7,85.8,52.4,29.28,79.2,6.37,102.5,banana
39.0,13.9,33.7,20.8,90.28,5.71,106.0,pomegranate
23.8,40.2,16.1,27.94,60.63,6.99,81.67,mothbeans
100.1,83.4,59.1,26.47,81.76,5.63,115.21,banana
25.2,44.9,23.7,29.12,60.42,5.23,63.17,mothbeans
17.0,19.7,30.0,28.14,46.78,6.38,97.44,mango
67.8,49.5,45.7,36.73,94.73,6.83,249.56,papaya
20.5,59.6,20.2,21.04,19.69,6.1,108.13,kidneybeans
35.6,71.1,18.3,24.81,58.81,7.03,39.74,lentil
87.6,8.2,49.0,24.86,87.77,6.92,59.29,watermelon
26.2,56.8,15.4,30.84,80.76,6.22,50.57,mungbean
14.4,59.2,20.1,30.52,87.55,6.74,53.94,mungbean
89.1,58.3,44.9,26.62,77.02,7.11,180.06,jute
24.1,73.9,15.0,31.32,55.76,5.43,141.9,pigeonpeas
115.8,70.6,45.8,28.49,72.21,5.86,108.26,banana
19.6,15.6,37.8,19.27,85.35,5.97,94.54,pomegranate
113.9,70.4,47.1,28.03,80.25,5.91,94.08,banana
63.7,35.9,38.0,22.76,82.98,7.07,176.76,jute
17.2,66.8,20.5,18.37,71.18,6.87,40.05,lentil
116.4,41.4,23.5,25.92,81.6,7.39,75.17,cotton
82.9,54.1,37.7,23.54,84.94,6.18,239.59,rice
21.4,71.2,20.7,33.59,34.21,5.58,96.38,pigeonpeas
28.9,26.8,41.3,21.62,86.35,6.19,102.49,pomegranate
11.5,59.2,13.9,27.99,49.41,3.83,34.15,mothbeans
77.7,49.8,19.6,28.55,72.48,6.52,78.51,maize
27.0,58.0,17.0,34.6,65.2,4.77,147.48,pigeonpeas
62.0,46.3,42.3,25.85,94.61,6.65,259.06,rice
28.2,141.9,196.6,18.89,79.08,6.2,55.92,grapes
28.2,30.3,30.2,28.46,95.41,5.78,152.07,coconut
25.1,58.4,18.6,30.63,38.51,6.16,194.87,pigeonpeas
35.8,24.2,29.8,26.72,100,5.73,194.09,coconut
12.2,5,30.8,25.04,95.21,6.53,145.8,coconut
89.8,60.0,21.5,19.11,70.02,6.3,67.34,maize
29.2,15.7,28.5,28.85,52.64,5.2,90.65,mango
127.9,54.7,18.4,26.15,79.97,5.77,71.48,cotton
56.8,66.3,15.8,27.05,55.78,7.41,72.43,blackgram
85.3,25.0,28.3,24.24,62.64,5.7,134.32,coffee
92.1,27.9,43.9,26.31,86.95,6.37,16.92,muskmelon
118.2,25.5,54.7,24.35,83.26,6.61,62.29,watermelon
25.1,57.5,22.2,25.2,64.08,6.83,39.95,mothbeans
35.1,63.3,25.8,30.07,66.78,7.1,67.04,blackgram
67.9,55.4,17.6,20.09,74.7,6.91,79.09,maize
29.6,60.4,11.5,32.0,39.53,4.48,162.75,pigeonpeas
93.6,57.2,21.5,28.08,67.33,6.05,68.8,maize
35.4,23.9,29.0,28.13,98.73,6.12,187.72,coconut
16.3,72.5,75.3,17.35,13.24,7.21,86.07,chickpea
52.1,71.9,18.6,27.15,67.42,6.55,65.2,blackgram
105.9,36.2,28.2,23.73,53.06,7.78,127.22,coffee
62.3,37.4,42.6,25.08,74.77,6.99,199.44,jute
26.3,17.2,37.1,20.02,85.03,7.26,114.9,pomegranate
32.0,69.6,21.6,32.56,63.26,7.03,72.02,blackgram
111.3,42.2,22.9,23.34,79.58,6.08,83.69,cotton
87.1,42.4,34.8,27.71,68.36,7.03,179.99,jute
34.4,62.0,20.1,34.57,29.68,4.75,141.58,pigeonpeas
31.1,66.9,48.8,24.03,90.22,6.55,170.75,papaya
20.6,55.9,23.7,28.72,85.05,6.14,43.52,mungbean
52.3,68.6,17.9,36.11,61.28,6.92,59.81,blackgram
19.5,59.1,20.9,29.16,42.97,5.06,112.43,pigeonpeas
15.6,140.0,196.8,17.47,82.39,6.22,72.24,grapes
119.8,89.3,47.3,27.95,71.45,5.86,93.97,banana
34.4,135.5,199.8,29.09,84.45,6.28,64.57,grapes
65.8,49.7,49.9,38.1,91.43,6.83,181.8,papaya
95.1,80.1,52.4,26.73,83.92,6.74,109.85,banana
23.5,48.7,18.4,27.24,61.71,3.59,44.28,mothbeans
59.9,44.1,40.4,24.48,84.01,6.4,178.06,jute
16.7,25.4,27.5,28.45,99.71,5.58,182.82,coconut
109.3,26.9,49.3,29.15,93.36,6.97,29.54,muskmelon
19.3,67.6,80.6,21.12,20.31,6.0,86.07,chickpea
33.5,82.4,83.9,18.88,17.96,7.2,75.54,chickpea
12.2,22.6,32.0,36.01,50.48,4.89,102.85,mango
91.3,24.1,50.1,27.87,90.11,6.73,24.8,muskmelon
33.3,125.4,203.1,19.05,82.65,6.74,69.42,grapes
45.7,32.7,13.4,20.87,94.93,8.0,107.94,orange
17.2,63.0,18.4,19.46,58.5,6.3,58.45,lentil
97.6,80.0,51.7,28.23,76.64,5.36,109.81,banana
18.2,52.1,15.6,28.03,64.77,4.19,43.55,mothbeans
81.3,18.1,47.0,30.47,91.07,6.26,20.91,muskmelon
24.5,10.7,8.1,31.96,92.7,7.62,102.16,orange
24.6,60.5,82.0,19.18,19.84,7.87,66.22,chickpea
52.1,58.5,22.5,27.04,58.39,7.33,71.27,blackgram
65.2,43.6,41.2,26.32,73.4,6.35,192.31,jute
16.3,13.4,36.8,24.97,100,5.62,196.41,coconut
83.8,6.7,51.6,30.1,91.07,6.16,26.34,muskmelon
49.9,59.0,20.9,26.94,67.2,7.4,56.76,blackgram
19.1,68.5,20.4,22.37,25.3,5.34,116.3,kidneybeans
62.9,55.1,45.7,23.91,72.51,6.18,202.56,jute
19.2,9.8,27.2,26.74,98.99,5.85,154.19,coconut
106.9,28.4,54.3,29.64,93.22,5.88,17.34,muskmelon
16.8,58.6,13.4,35.4,32.39,6.69,101.55,pigeonpeas
20.5,17.0,27.8,32.68,48.01,4.8,89.12,mango
20.2,126.9,204.5,29.67,80.38,5.88,68.45,grapes
41.1,16.4,8.8,34.83,88.59,7.2,101.6,orange
38.6,58.5,85.3,22.16,19.29,7.33,87.69,chickpea
54.4,61.3,21.2,29.3,67.33,7.58,60.19,blackgram
92.4,55.7,45.4,25.24,88.56,6.56,189.25,jute
33.8,129.1,193.6,15.59,82.62,6.48,78.31,grapes
35.7,84.4,24.6,17.94,18.4,5.72,112.54,kidneybeans
115.5,34.4,29.6,26.27,62.06,6.63,178.83,coffee
36.9,21.1,9.3,28.36,94.63,6.62,115.58,orange
102.4,27.8,48.6,26.46,88.11,6.31,27.52,muskmelon
12.8,51.5,16.8,28.37,82.03,7.36,38.28,mungbean
21.9,127.6,195.3,12.67,82.55,5.48,74.9,grapes
36.7,5,5,19.74,90.52,6.35,104.41,orange
18.1,20.8,28.6,32.2,51.93,6.89,97.18,mango
16.0,121.1,199.0,31.72,82.14,6.34,74.67,grapes
73.4,36.9,39.8,24.23,70.82,7.39,156.96,jute
35.5,70.4,46.0,37.81,94.76,6.91,177.77,papaya
103.4,26.1,34.9,23.86,51.9,6.25,167.7,coffee
38.3,78.6,17.2,28.1,67.38,7.08,51.4,lentil
14.0,48.1,22.6,27.37,82.63,7.04,49.63,mungbean
35.8,68.1,74.7,16.55,21.79,7.42,78.75,chickpea
47.8,69.1,78.6,18.45,14.49,8.51,95.06,chickpea
59.1,66.7,82.1,19.02,20.09,5.92,70.51,chickpea
115.5,92.5,50.1,26.9,80.85,5.96,92.36,banana
63.0,53.3,36.0,25.4,68.13,6.42,160.88,jute
36.1,67.0,79.5,17.04,19.85,7.35,79.52,chickpea
21.5,12.3,44.1,24.04,88.65,5.85,102.53,pomegranate
25.2,38.3,22.8,27.68,46.22,5.53,70.87,mothbeans
80.1,58.6,16.6,22.74,65.39,5.56,89.27,maize
20.1,15.8,34.0,27.07,100,6.12,127.4,coconut
30.3,21.1,9.8,18.04,89.6,7.25,105.57,orange
31.9,138.2,202.1,20.72,93.55,5.55,99.95,apple
36.1,17.0,43.1,21.64,87.97,6.71,111.06,pomegranate
35.7,14.6,44.1,20.81,89.42,5.61,113.96,pomegranate
36.9,28.8,30.4,28.7,100,5.94,172.6,coconut
49.3,73.4,14.4,34.92,64.84,6.76,73.84,blackgram
72.9,55.3,38.8,24.35,91.84,5.5,243.22,rice
39.4,122.2,203.7,21.03,96.33,6.43,110.02,apple
15.2,60.2,16.3,20.41,23.7,6.12,98.97,kidneybeans
27.1,19.6,26.7,25.48,94.7,6.52,149.81,coconut
32.1,121.5,194.9,9.35,84.38,6.45,70.6,grapes
23.4,69.0,81.7,19.06,18.02,6.43,65.88,chickpea
14.1,57.6,17.6,29.48,60.99,6.38,145.51,pigeonpeas
34.7,15.1,33.1,25.87,98.08,6.09,166.05,coconut
75.0,54.7,22.9,17.57,57.73,6.75,78.68,maize
116.7,38.7,26.9,24.14,61.54,6.4,155.44,coffee
16.3,11.5,16.6,27.91,95.45,7.06,112.11,orange
111.7,55.9,25.2,24.54,77.72,6.3,94.16,cotton
93.0,41.1,40.1,23.18,90.72,4.97,208.68,rice
21.6,120.2,202.1,22.76,91.84,6.09,123.36,apple
34.7,52.9,19.1,24.48,47.16,3.91,43.38,mothbeans
79.8,50.4,20.8,21.19,56.18,6.97,94.97,maize
78.0,51.0,37.3,26.08,86.06,6.95,286.45,rice
17.4,54.2,26.4,28.21,68.85,7.65,46.56,lentil
33.4,63.0,19.1,34.9,38.9,5.54,183.05,pigeonpeas
80.1,37.7,44.0,25.17,89.53,5.97,201.32,rice
87.4,47.4,43.1,24.75,84.59,6.14,165.09,jute
74.7,58.2,48.2,25.68,83.77,6.03,271.93,rice
24.5,13.7,37.5,26.6,94.25,5.89,198.44,coconut
39.0,71.5,18.4,22.64,60.68,6.83,43.87,lentil
35.3,17.9,26.2,34.05,44.0,7.31,95.48,mango
45.9,63.0,83.6,19.51,17.12,7.13,68.21,chickpea
86.5,17.7,45.7,28.02,84.14,6.47,37.88,watermelon
82.1,27.2,33.3,24.72,54.24,6.02,170.73,coffee
78.7,56.3,45.7,24.0,75.97,6.25,195.5,jute
85.7,45.7,42.0,28.41,80.13,6.07,257.56,rice
37.4,144.9,203.0,23.77,89.71,6.0,116.68,apple
21.0,69.8,22.4,24.66,21.89,5.59,94.44,kidneybeans
91.1,31.4,25.1,25.17,62.76,6.43,162.85,coffee
80.4,19.7,52.2,26.42,83.92,6.27,45.87,watermelon
17.2,20.5,32.6,27.23,98.08,5.72,140.83,coconut
12.9,55.7,18.5,20.14,19.57,6.24,119.78,kidneybeans
20.9,59.7,18.7,21.95,20.41,5.59,114.23,kidneybeans
38.0,62.1,22.6,25.92,67.93,6.44,52.25,lentil
13.2,43.5,20.7,27.12,87.01,6.92,40.21,mungbean
44.0,62.3,53.5,39.58,93.0,7.26,218.28,papaya
34.6,18.1,41.6,21.21,86.56,6.3,102.61,pomegranate
86.4,59.0,41.2,23.86,89.86,7.75,247.66,rice
22.2,80.7,22.1,18.05,23.81,5.77,102.29,kidneybeans
21.8,72.0,22.3,17.51,60.94,7.07,53.82,lentil
111.5,49.3,15.4,25.01,77.78,6.04,88.99,cotton
23.9,11.5,9.8,20.6,90.63,6.05,117.22,orange
15.8,21.7,8.4,15.7,90.74,7.04,98.91,orange
27.1,123.4,204.3,23.41,93.54,5.74,126.3,apple
60.8,80.3,23.8,34.21,71.19,7.43,66.98,blackgram
101.5,88.5,45.5,25.98,83.21,6.08,115.37,banana
86.9,37.9,45.0,23.66,86.3,6.59,232.09,rice
8.3,121.5,201.2,23.25,92.83,5.8,102.96,apple
80.9,5.7,54.4,27.53,89.08,6.43,49.39,watermelon
21.6,124.8,194.9,22.07,90.23,6.07,112.58,apple
20.9,28.4,24.6,28.26,45.34,5.22,113.33,mango
65.3,70.5,50.9,29.93,95.48,6.77,222.05,papaya
28.2,71.5,16.6,22.65,18.59,6.02,131.62,kidneybeans
33.5,57.3,52.7,27.09,90.69,6.42,158.95,papaya
29.8,42.3,17.9,28.49,81.7,5.94,59.08,mungbean
27.4,18.0,35.4,25.96,96.95,5.45,186.82,coconut
21.6,13.8,13.0,22.46,94.12,6.19,98.45,orange
83.3,7.1,46.6,29.24,92.19,6.55,30.58,muskmelon
15.2,53.8,16.1,25.91,81.77,6.69,44.13,mungbean
60.4,62.3,51.2,38.58,91.26,6.81,216.24,papaya
24.5,10.4,11.2,26.26,95.11,6.92,105.22,orange
91.4,48.7,52.5,23.56,86.16,5.63,217.13,rice
37.2,24.9,29.8,29.74,94.88,6.45,152.65,coconut
95.5,18.0,28.4,26.76,50.52,7.3,192.71,coffee
77.3,49.9,39.9,21.57,86.03,6.41,191.05,jute
12.1,70.2,15.5,28.28,41.57,6.83,176.0,pigeonpeas
40.4,138.7,206.3,24.08,84.33,5.99,72.09,grapes
30.2,16.7,46.0,23.6,95.49,6.17,114.72,pomegranate
81.0,54.3,26.3,22.44,67.93,5.5,55.63,maize
29.3,35.6,22.3,28.87,57.02,6.7,29.45,mothbeans
33.3,56.1,22.4,19.23,19.26,5.3,65.34,kidneybeans
39.3,69.9,47.1,37.0,88.85,6.76,173.25,papaya
99.5,24.8,52.6,24.11,87.92,6.91,66.57,watermelon
24.1,140.0,198.3,30.77,86.09,5.74,76.12,grapes
81.4,55.8,24.3,23.5,57.36,6.16,77.14,maize
22.5,131.9,200.6,26.91,79.01,6.4,71.89,grapes
40.3,57.4,17.6,33.19,66.17,7.18,69.4,blackgram
37.6,66.7,16.3,30.48,62.48,6.71,60.58,blackgram
43.4,46.4,49.2,44.14,93.76,7.31,212.04,papaya
80.3,44.7,16.8,25.26,55.85,6.68,66.65,maize
62.0,52.4,41.1,22.31,86.34,6.93,210.45,rice
66.1,46.3,48.4,26.11,93.29,6.92,162.17,papaya
36.0,131.0,203.7,21.02,94.62,5.45,106.91,apple
29.7,66.5,20.0,34.27,38.74,4.47,136.96,pigeonpeas
95.7,76.6,55.0,26.96,79.19,5.65,115.12,banana
67.0,48.6,18.5,27.62,67.96,6.65,93.42,maize
18.3,145.3,200.8,21.87,81.27,6.41,76.52,grapes
31.3,67.2,14.7,33.13,62.66,6.69,64.61,blackgram
96.1,44.5,37.3,24.63,94.38,5.81,253.91,rice
46.1,80.2,22.0,32.31,62.08,7.32,70.83,blackgram
42.0,18.5,39.4,23.68,89.1,6.75,114.43,pomegranate
15.5,124.1,197.3,13.48,82.53,5.71,78.02,grapes
61.8,58.6,54.7,31.32,94.26,6.65,142.31,papaya
114.3,29.6,47.1,24.95,82.04,7.25,52.04,watermelon
79.3,8.6,48.9,28.53,94.47,6.47,31.64,muskmelon
107.1,91.4,47.8,29.32,79.17,6.35,105.16,banana
44.2,70.9,21.7,29.14,62.8,6.83,71.86,blackgram
34.9,129.2,200.7,23.04,90.6,6.1,108.0,apple
16.6,15.0,24.3,34.21,49.4,6.94,91.02,mango
38.0,144.8,200.3,33.72,86.78,6.53,67.2,grapes
132.7,53.4,13.4,25.83,75.14,6.98,100.79,cotton
33.2,13.3,42.6,22.04,92.03,7.03,109.22,pomegranate
75.3,40.8,35.3,25.79,71.77,6.61,195.79,jute
36.3,72.6,16.3,38.06,35.03,7.14,144.57,pigeonpeas
26.5,141.4,201.8,22.12,94.64,5.49,114.88,apple
20.6,12.3,33.0,29.92,100,6.23,145.96,coconut
34.3,22.7,29.2,26.91,98.86,5.97,181.71,coconut
122.9,51.6,26.2,21.73,78.85,6.05,79.0,cotton
22.8,57.0,22.7,28.63,88.52,6.92,50.11,mungbean
24.6,57.1,22.3,23.77,17.56,5.4,60.38,kidneybeans
93.2,23.1,31.3,25.56,67.37,7.81,162.02,coffee
15.2,123.9,201.3,23.58,92.28,6.45,102.99,apple
34.0,18.8,47.2,19.49,86.75,6.5,112.82,pomegranate
37.1,25.4,10.0,18.88,90.85,7.09,118.28,orange
87.0,54.0,48.3,24.23,83.42,6.15,290.96,rice
37.4,25.6,40.0,18.74,91.27,6.39,95.78,pomegranate
30.2,128.3,197.1,21.06,91.7,6.19,100.9,apple
21.5,70.1,24.1,15.36,22.84,5.78,114.77,kidneybeans
21.2,26.9,24.6,29.47,98.97,6.16,197.25,coconut
43.1,19.4,42.4,21.61,85.96,5.77,94.23,pomegranate
